driver=hardware size=960x540 samples=216 flow-prepare=0.45ms/pair fuse=0.17ms/frame

fps  start  alpha  lane        psnr  xfade   gain   bad%   max
 30   1.95   0.50  detail      10.00  14.50  -4.50  66.45  227
 30   1.95   0.83  linear      38.69  31.60   7.09   0.58  249
 30   1.95   0.83  occlusion   36.73  26.07  10.65   1.47  237
 30   1.95   0.83  detail      17.22  19.90  -2.68  68.26  234
 30   2.55   0.17  linear      41.61  31.78   9.83   0.40  177
 30   2.55   0.17  occlusion   39.37  30.81   8.56   0.54  236
 30   2.55   0.17  detail      16.56  19.74  -3.18  86.20  236
 30   2.55   0.50  linear      39.07  27.32  11.75   0.65  198
 30   2.55   0.50  occlusion   38.73  27.44  11.29   0.46  236
 30   2.55   0.50  detail      10.19  14.44  -4.25  86.45  243
 30   2.55   0.83  linear      42.47  30.95  11.52   0.35  206
 30   2.55   0.83  occlusion   39.64  31.35   8.29   0.49  249
 30   2.55   0.83  detail      15.17  19.82  -4.65  86.21  182
 30   3.40   0.17  linear      41.13  34.86   6.27   0.35  179
 30   3.40   0.17  occlusion   33.98  29.30   4.69   2.00  223
 30   3.40   0.17  detail      20.30  22.39  -2.10  59.48  199
 30   3.40   0.50  linear      35.65  30.65   5.00   0.73  141
 30   3.40   0.50  occlusion   32.13  26.22   5.91   2.37  232
 30   3.40   0.50  detail      15.98  16.98  -1.01  61.92  169
 30   3.40   0.83  linear      38.04  33.63   4.42   0.43  165
 30   3.40   0.83  occlusion   33.34  29.70   3.63   2.22  229
 30   3.40   0.83  detail      20.16  22.38  -2.22  59.96  186
 30   4.25   0.17  linear      37.73  35.02   2.71   0.83  169
 30   4.25   0.17  occlusion   34.54  30.58   3.96   1.65  225
 30   4.25   0.17  detail      19.04  22.33  -3.30  68.87  179
 30   4.25   0.50  linear      35.80  30.57   5.22   0.77  198
 30   4.25   0.50  occlusion   33.68  27.69   5.99   1.68  205
 30   4.25   0.50  detail      14.94  17.00  -2.05  85.56  160
 30   4.25   0.83  linear      39.08  33.76   5.32   0.51  198
 30   4.25   0.83  occlusion   35.33  30.99   4.34   1.39  194
 30   4.25   0.83  detail      20.42  22.37  -1.96  67.62  152
 30   5.10   0.17  linear      40.67  35.22   5.44   0.49  126
 30   5.10   0.17  occlusion   37.05  34.59   2.46   0.72  225
 30   5.10   0.17  detail      19.20  22.25  -3.05  83.75  167
